fips,cases,deaths,cured
8113,923,1,922
8115,236,3,233
8117,3771,8,3763
8119,1921,18,1903
8121,473,13,460
8123,33491,351,33140
8125,969,17,952
9001,100516,2202,98314
9003,84527,2439,82088
9005,14694,298,14396
9007,12867,374,12493
9009,92394,2131,90263
9011,22578,451,22127
9013,9651,187,9464
9015,10947,195,10752
10001,18234,349,17885
10003,65053,846,64207
10005,26230,499,25731
11001,49335,1141,48194
12001,25425,285,25140
12003,3607,62,3545
12005,19965,394,19571
12007,3063,58,3005
12009,43207,914,42293
12011,245828,3079,242749
12013,1720,45,1675
12015,13425,437,12988
12017,11482,463,11019
12019,19630,352,19278
12021,36319,551,35768
12023,8315,170,8145
12027,4440,97,4343
12029,1638,24,1614
12031,101623,1483,100140
12033,33139,706,32433
12035,7540,114,7426
12037,1333,20,1313
12039,5815,99,5716
12041,1646,44,1602
12043,992,19,973
12045,1977,45,1932
12047,1634,25,1609
12049,3351,45,3306
12051,4920,87,4833
12053,14855,482,14373
12055,8776,366,8410
12057,145214,1832,143382
12059,2277,49,2228
12061,12922,306,12616
12063,6393,158,6235
12065,1504,28,1476
12067,1630,26,1604
12069,31095,663,30432
12071,72609,1009,71600
12073,32289,332,31957
12075,3620,56,3564
12077,1086,16,1070
12079,2086,45,2041
12081,39565,689,38876
12083,32123,996,31127
12085,12721,335,12386
12086,501540,6472,495068
12087,6811,52,6759
12089,8434,127,8307
12091,20955,367,20588
12093,4244,89,4155
12095,143397,1310,142087
12097,46436,529,45907
12099,148184,2883,145301
12101,43160,802,42358
12103,80558,1671,78887
12105,71953,1387,70566
12107,6820,160,6660
12113,18565,291,18274
12115,32493,844,31649
12117,35999,516,35483
12109,23546,221,23325
12111,27945,657,27288
12119,9515,284,9231
12121,5423,140,5283
12123,2754,48,2706
12125,1878,74,1804
12127,45057,846,44211
12129,3559,56,3503
12131,7107,89,7018
12133,2742,52,2690
13001,2344,72,2272
13003,1053,23,1030
13005,1671,40,1631
13007,231,10,221
13009,4605,135,4470
13011,1874,38,1836
13013,10245,146,10099
13015,15090,236,14854
13017,2135,83,2052
13019,1906,46,1860
13021,16254,464,15790
13023,1514,51,1463
13025,1674,41,1633
13027,1424,50,1374
13029,3779,41,3738
13031,6865,121,6744
13033,2631,65,2566
13035,3216,90,3126
13037,587,16,571
13039,4113,39,4074
13043,1006,68,938
13045,11612,246,11366
13047,6727,73,6654
13049,1606,36,1570
13051,23768,463,23305
13053,4526,17,4509
13055,2905,76,2829
13057,31851,334,31517
13059,15228,149,15079
13061,237,3,234
13063,27571,525,27046
13065,988,27,961
13067,80650,1110,79540
13069,5384,178,5206
13071,4871,129,4742
13073,17171,213,16958
13075,1888,44,1844
13077,14415,231,14184
13079,669,21,648
13081,2120,90,2030
13083,1491,14,1477
13085,3145,50,3095
13089,67767,1074,66693
13087,2996,73,2923
13091,2154,105,2049
13093,1093,44,1049
13095,7736,312,7424
13097,15647,232,15415
13099,1201,47,1154
13101,484,9,475
13103,4737,73,4664
13105,2310,74,2236
13107,2623,83,2540
13109,994,31,963
13111,2474,73,2401
13113,9175,176,8999
13115,12164,239,11925
13117,23374,206,23168
13119,2723,54,2669
13121,99633,1473,98160
13123,3091,89,3002
13125,271,19,252
13127,8340,178,8162
13129,8323,120,8203
13131,2282,64,2218
13133,1848,62,1786
13135,103415,1207,102208
13137,5221,164,5057
13139,27992,491,27501
13141,933,69,864
13143,2702,90,2612
13145,2649,62,2587
13147,2436,57,2379
13149,893,22,871
13151,26019,335,25684
13153,14983,271,14712
13155,1019,31,988
13157,10031,151,9880
13159,1419,39,1380
13161,1923,44,1879
13163,1977,69,1908
13165,872,44,828
13167,1133,50,1083
13169,2074,59,2015
13171,2075,58,2017
13173,798,13,785
